         718          24          24          24
   8.4463669422448831E-002 -0.26883783449211485                0           0           0
   7.9637596922016107E-002 -0.59539963848099209               -1          -1          -1
  -2.1461040129999200E-003  -2.8703673826535554E-004           0           1           2
  -5.1854379452594547E-004   5.8355006145290470E-003           0           2           1
   5.1854245764966804E-004  -5.8355039896093195E-003           1          -1          -1
   1.6578811737649182E-003  -1.2394923021488790E-002           1          -1           1
  -2.1461034841087274E-003  -2.8704196732732087E-004           1           0           2
   3.0422047383853882E-003  -1.9373624118596441E-002           1           1          -1
  -3.7069743621793174E-003   2.1082529870438656E-003           1           2           0
  -8.0562584014951184E-004  -1.6208094510637289E-003           1           2           2
  -5.1854258291930038E-004   5.8354953108277095E-003           2           0           1
  -3.7069738043723180E-003   2.1082516572331561E-003           2           1           0
  -8.0562635030276383E-004  -1.6208081751416606E-003           2           1           2
  -3.0422062314972784E-003   1.9373626267103445E-002           2           2           1
  -9.7549713539751073E-003   3.2316081398878552E-002          -2          -2          -2
  -9.8419293783761092E-003   3.0058961004856354E-002          -2           0           0
  -9.8419305775324477E-003   3.0058958527326689E-002           0          -2           0
   2.0383572721848846E-003   1.9795547499041463E-003           0           0          -2
  -9.7549798023499768E-003   3.2316117983726772E-002           0           0           2
   1.4575028301921024E-003  -1.3106524574158797E-002           0           2           0
   1.4575032744297322E-003  -1.3106526428193207E-002           2           0           0
   2.0383542754137656E-003   1.9795645285447033E-003           2           2           2
  -5.1347961134055728E-003   1.6343373727094455E-002          -2          -2           0
  -7.6848833376518097E-004   2.4460412934823464E-003          -2           0          -2
  -7.6848745383454144E-004   2.4460428603049070E-003           0          -2          -2
  -7.6848848501216835E-004   2.4460469025828638E-003           0           2           2
  -7.6848856829386933E-004   2.4460449353697544E-003           2           0           2
  -2.6871307445936864E-003   8.5528337273224724E-003           2           2           0
  -1.2032672353626665E-003   1.3521088591905339E-003          -3          -2          -2
   1.0333001682172611E-003  -5.7666474695593347E-003          -3          -1          -1
  -1.2032659928422102E-003   1.3521106880467185E-003          -2          -3          -2
  -1.9169600734066563E-003   1.4331898754687895E-002          -2          -2          -3
  -1.0333022407863269E-003   5.7666515023055507E-003          -2           0           1
  -2.4815449655823129E-003  -3.3191925262853633E-004          -2           1           0
   1.0333003543549616E-003  -5.7666462243175162E-003          -1          -3          -1
  -2.1373815257714241E-003   9.0406435123050561E-005          -1          -1          -3
  -1.2032693510569371E-003   1.3521217704018410E-003          -1           0           2
   1.6769186723275048E-003  -1.2050136365419852E-002          -1           2           0
  -1.0332995611712784E-003   5.7666537124818600E-003           0          -2           1
  -1.2032682303151098E-003   1.3521234776562125E-003           0          -1           2
   1.5942100103664813E-003   2.1382441888362109E-004           0           1          -2
   1.2314622352175347E-003  -9.2076321240464401E-003           0           2          -1
  -2.4815450418998282E-003  -3.3191881505419824E-004           1          -2           0
   1.5942095391532716E-003   2.1382452993439378E-004           1           0          -2
   1.9169606056844840E-003  -1.4331898578577758E-002           1           1           3
  -1.2314627625438579E-003   9.2076330702736808E-003           1           3           1
   1.6769180068178804E-003  -1.2050137539547178E-002           2          -1           0
   1.2314616207254152E-003  -9.2076329204118824E-003           2           0          -1
   2.1373804549692454E-003  -9.0407300008464066E-005           2           2           3
   1.5942087536018165E-003   2.1382687788606443E-004           2           3           2
  -1.2314620502711549E-003   9.2076338293511917E-003           3           1           1
   1.5942088855555078E-003   2.1382793663080925E-004           3           2           2
  -9.9230824672238982E-004  -2.5772694399539567E-002          -3          -2          -1
  -9.8634533487771759E-005  -2.5620287638619997E-003          -3          -1          -2
  -9.9230751238120647E-004  -2.5772692833644445E-002          -2          -3          -1
  -1.8431990480928017E-003   4.7544458497711184E-003          -2          -1          -3
   9.9230786356799446E-004   2.5772695535715158E-002          -2          -1           1
  -1.7669078321412386E-003   6.7361717625013060E-003          -2           1          -1
  -9.8633046604597666E-005  -2.5620264282119900E-003          -1          -3          -2
  -1.8431985773775697E-003   4.7544464332030592E-003          -1          -2          -3
   9.9230857954183890E-004   2.5772695035265539E-002          -1          -2           1
   1.3150745595822051E-004   3.4155815930591821E-003          -1           1          -2
  -9.8634981007988390E-005  -2.5620229945580966E-003          -1           1           2
   1.7669085196433286E-003  -6.7361728122588144E-003          -1           2           1
  -1.7669088864152140E-003   6.7361709532435723E-003           1          -2          -1
   1.3150673832139381E-004   3.4155816047498244E-003           1          -1          -2
  -9.8635488399969793E-005  -2.5620237433522800E-003           1          -1           2
  -2.4167775913773058E-004  -6.2769078656294240E-003           1           2          -1
   1.8431987250964207E-003  -4.7544477011954474E-003           1           2           3
