         718          24          24          24
   1.2577804613229118E-002 -0.28151294473078364                0           0           0
   1.1188014801058856E-003  -5.7203075172085286E-003          -1          -3          -1
   1.1187923927006944E-003  -5.7202995020594789E-003          -1          -1          -3
   2.2427131160172127E-003  -8.9625764072313735E-003          -1           0           2
   2.2427130185383825E-003  -8.9625733619018901E-003          -1           2           0
   2.8356771382224994E-003   7.0953953017340184E-004           0          -2           1
   2.8638618300436064E-003  -1.1756121889695145E-002           0          -1           2
   2.8356788107270253E-003   7.0953219579519269E-004           0           1          -2
   2.8638608297013035E-003  -1.1756118355779709E-002           0           2          -1
  -1.1188013698353446E-003   5.7203088558242200E-003           1          -2           0
  -1.1187931501150938E-003   5.7202996986027528E-003           1           0          -2
  -2.2427130305685819E-003   8.9625762629612533E-003           1           1           3
  -2.2427128643223450E-003   8.9625733858149786E-003           1           3           1
   7.8574992819838716E-004   1.7341051840820182E-003           2          -1           0
   7.8575304858721589E-004   1.7341018992398059E-003           2           0          -1
  -1.8219395015998394E-003  -4.5527990366605144E-004           2           2           3
  -1.8219406891456288E-003  -4.5527964223503095E-004           2           3           2
   3.4906605989701387E-003  -1.3950517860666138E-002           3           1           1
  -2.2958817992247472E-003  -9.5684205358168733E-004           3           2           2
   1.5870195000405613E-004   5.1214739416666913E-003          -3          -2          -1
   1.5870388334334167E-004   5.1214717285722310E-003          -3          -1          -2
   1.1053343058307573E-003  -2.3134337858413513E-003          -2          -3          -1
   1.1053349662930535E-003  -2.3134369374144845E-003          -2          -1          -3
  -1.4735693142654306E-003   3.0841705379404606E-003          -2          -1           1
  -1.4735702308292628E-003   3.0841694033391623E-003          -2           1          -1
   1.1118987147932007E-002  -2.3271977070827895E-002          -1          -3          -2
   1.1118985397875206E-002  -2.3271979555173752E-002          -1          -2          -3
  -6.9627827148783681E-004   6.9109166968168989E-003          -1          -2           1
  -6.9627777648595575E-004   6.9109141367241543E-003          -1           1          -2
   2.7080125647800969E-003  -5.6678614105771258E-003          -1           1           2
   2.7080129819847488E-003  -5.6678608277761803E-003          -1           2           1
  -1.1118986675304580E-002   2.3271978429158745E-002           1          -2          -1
  -1.1118985680297521E-002   2.3271980495481730E-002           1          -1          -2
   6.9627822322926389E-004  -6.9109171389572354E-003           1          -1           2
   6.9627768616684462E-004  -6.9109136070759766E-003           1           2          -1
  -2.7080124021518488E-003   5.6678612482252196E-003           1           2           3
  -2.7080127426541314E-003   5.6678605370739793E-003           1           3           2
   1.1053351721809546E-003  -2.3134346276671852E-003           2          -1           1
